timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211472.335,-36.621,-12.207,-26.367,-11.230,-90.332,0
1671211472.339,-72.754,-15.625,-21.484,-19.531,-99.609,0
1671211472.343,-58.105,-22.949,-23.926,-29.785,17.090,0
1671211472.347,-4.395,-24.414,-26.855,-26.367,237.305,0
1671211472.351,14.160,-20.020,-19.043,-16.113,56.641,0
1671211472.355,-30.762,-21.484,-13.184,-17.090,-22.949,0
1671211472.359,-75.684,-23.438,-18.066,-26.367,71.777,0
1671211472.362,-61.035,-20.996,-21.973,-19.531,163.574,0
1671211472.366,-10.254,-17.578,-18.555,-31.250,23.926,0
1671211472.370,13.672,-14.648,-16.113,-34.180,-81.543,0
1671211472.374,-21.973,-16.602,-23.438,-20.020,-38.086,0
1671211472.378,-67.383,-17.578,-28.320,-25.391,-61.523,0
1671211472.381,-64.941,-14.648,-20.020,-34.180,-138.184,0
1671211472.385,-16.602,-18.555,-19.531,-28.809,-131.348,0
1671211472.389,13.184,-21.973,-28.809,-18.555,10.254,0
1671211472.393,-22.949,-22.461,-21.484,-15.137,-10.742,0
1671211472.397,-74.219,-23.926,-20.996,-24.902,-66.406,0
1671211472.401,-73.730,-22.461,-24.902,-34.668,-76.172,0
1671211472.405,-21.973,-20.020,-25.391,-31.250,134.766,0
1671211472.408,15.137,-20.508,-29.785,-19.043,262.695,0
1671211472.412,-16.113,-22.949,-21.973,-17.578,0.977,0
1671211472.416,-68.359,-20.020,-17.578,-22.461,-49.316,0
1671211472.420,-72.266,-23.438,-24.414,-19.531,57.129,0
1671211472.424,-35.645,-22.949,-25.391,-39.062,-53.223,0
1671211472.425,4.883,-17.578,-22.461,-41.992,-136.230,0
1671211472.429,-4.395,-15.137,-19.043,-19.531,-46.875,0
1671211472.433,-56.152,-14.160,-13.184,-11.719,70.312,0
1671211472.437,-73.730,-20.020,-14.160,-27.832,23.926,0
1671211472.441,-35.156,-21.973,-23.926,-40.527,-109.375,0
1671211472.445,9.277,-17.578,-23.438,-25.391,2.930,0
1671211472.449,6.836,-20.020,-20.020,-2.930,399.414,0
1671211472.452,-46.387,-18.555,-24.414,-14.160,232.422,0
1671211472.456,-76.172,-16.113,-24.414,-36.621,-108.887,0
1671211472.460,-41.992,-22.461,-21.973,-42.969,-57.129,0
1671211472.464,7.324,-22.461,-23.926,-37.109,-4.395,0
1671211472.468,0.488,-23.926,-26.367,-33.691,-84.961,0
1671211472.472,-40.039,-20.996,-15.137,-21.484,-114.746,0
1671211472.476,-62.988,-15.137,-10.254,-22.461,-45.410,0
1671211472.480,-43.457,-20.508,-18.555,-43.945,-91.309,0
1671211472.484,10.254,-24.414,-14.648,-37.109,-171.387,0
1671211472.488,18.066,-23.438,-9.766,-17.090,-92.773,0
1671211472.492,-36.133,-24.414,-17.090,-9.766,75.195,0
1671211472.496,-71.777,-23.438,-16.602,-17.090,-10.254,0
1671211472.499,-40.527,-18.066,-13.184,-31.250,-271.484,0
1671211472.503,15.625,-11.230,-23.438,-33.691,-307.617,0
1671211472.507,29.785,-14.160,-29.297,-21.973,-35.645,0
1671211472.511,-23.926,-21.973,-21.973,-28.320,73.730,0
1671211472.515,-66.895,-12.207,-20.508,-39.062,-50.781,0
1671211472.530,-46.387,-8.789,-26.855,-32.227,-155.273,0
1671211472.534,2.930,-12.207,-18.555,-17.578,-16.113,0
1671211472.538,21.973,-10.254,-11.719,-15.625,29.297,0
1671211472.542,-19.531,-9.766,-15.137,-19.531,-88.867,0
1671211472.546,-66.406,-6.836,-17.090,-25.879,-21.484,0
1671211472.550,-58.594,-7.812,-28.320,-27.344,204.102,0
1671211472.554,-17.090,-10.254,-31.738,-32.227,97.168,0
1671211472.557,6.348,-12.695,-20.996,-27.832,-138.184,0
1671211472.561,-18.066,-11.230,-19.531,-16.113,-68.848,0
1671211472.565,-62.012,-9.766,-24.414,-22.461,0.977,0
1671211472.569,-62.012,-8.301,-28.809,-35.645,-139.160,0
1671211472.573,-8.789,-5.371,-25.879,-37.109,-151.367,0
1671211472.575,25.879,-6.836,-23.926,-28.809,-28.320,0
1671211472.579,-4.883,-13.672,-29.785,-25.879,15.137,0
1671211472.583,-56.152,-12.207,-24.414,-28.320,36.133,0
1671211472.587,-70.801,-8.789,-19.043,-28.320,-19.531,0
1671211472.591,-29.785,-10.254,-28.320,-27.832,35.645,0
1671211472.595,3.418,-12.207,-32.227,-23.926,109.863,0
1671211472.599,-16.113,-13.672,-20.508,-12.207,95.703,0
1671211472.602,-69.824,-16.113,-28.320,-15.625,54.688,0
1671211472.606,-83.496,-17.578,-33.203,-19.531,144.531,0
1671211472.610,-34.180,-14.160,-26.855,-23.926,93.750,0
1671211472.614,11.719,-13.184,-31.250,-29.785,-111.816,0
1671211472.618,-1.953,-16.113,-32.227,-22.949,-72.754,0
1671211472.620,-45.898,-10.254,-23.438,-22.949,0.000,0
1671211472.624,-68.359,-11.230,-24.902,-38.086,-36.133,0
1671211472.628,-42.969,-12.695,-23.926,-39.062,-70.801,0
1671211472.632,9.277,-8.789,-13.184,-26.367,31.250,0
1671211472.636,5.371,-10.742,-17.578,-18.066,219.727,0
1671211472.640,-57.129,-12.207,-22.949,-32.715,121.582,0
1671211472.644,-87.402,-17.090,-21.973,-49.316,-22.949,0
1671211472.647,-52.734,-17.090,-20.508,-44.434,127.930,0
1671211472.651,3.418,-12.207,-23.438,-32.227,305.664,0
1671211472.655,5.371,-13.184,-33.203,-28.320,57.617,0
1671211472.659,-50.293,-16.113,-29.297,-25.391,-100.098,0
1671211472.663,-83.984,-16.113,-20.020,-31.250,-13.672,0
1671211472.665,-54.199,-22.461,-14.160,-41.016,-23.926,0
1671211472.669,5.859,-22.949,-18.066,-36.621,-86.426,0
1671211472.673,19.531,-19.531,-29.785,-26.855,4.883,0
1671211472.677,-29.785,-21.973,-28.809,-26.855,47.852,0
1671211472.681,-74.707,-17.090,-20.996,-29.297,-41.016,0
1671211472.685,-59.082,-17.578,-21.484,-38.086,29.297,0
1671211472.689,-5.371,-23.438,-24.902,-37.598,34.180,0
1671211472.692,13.184,-20.996,-19.531,-16.113,203.613,0
1671211472.696,-29.785,-18.066,-19.531,-10.254,351.074,0
1671211472.700,-79.102,-25.391,-29.297,-28.320,-14.160,0
1671211472.704,-71.777,-29.297,-28.809,-39.551,-119.141,0
1671211472.708,-14.160,-32.227,-23.438,-31.250,82.031,0
1671211472.710,7.324,-26.367,-18.555,-24.902,60.547,0
1671211472.714,-34.180,-20.996,-21.484,-28.320,-24.414,0
1671211472.718,-74.707,-25.391,-20.996,-25.879,62.500,0
1671211472.722,-63.477,-20.508,-20.020,-23.438,108.398,0
1671211472.726,-18.066,-20.508,-26.367,-30.273,-71.777,0
1671211472.730,11.230,-27.832,-29.785,-27.344,-104.492,0
1671211472.734,6.836,-23.926,-41.016,-0.977,71.289,0
1671211472.737,-22.949,-13.672,-31.250,18.555,270.020,0
1671211472.741,-65.918,-21.484,1.465,-29.297,43.945,0
1671211472.745,-30.273,-33.691,5.859,-41.992,-156.250,0
1671211472.749,25.879,-35.156,-4.883,-16.113,-62.012,0
1671211472.753,-20.020,-46.875,2.930,-32.715,32.715,0
1671211472.758,-72.754,-57.617,12.207,-34.180,-60.547,0
1671211472.762,-85.449,-60.547,11.719,-40.039,-112.305,0
1671211472.766,-38.574,-62.500,18.555,-37.109,16.602,0
1671211472.770,18.555,-62.500,34.668,-12.207,30.762,0
