timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211770.825,-12.695,-13.184,-20.508,-28.320,-225.098,0
1671211770.829,-24.902,-20.020,-21.484,-17.090,23.926,0
1671211770.832,-0.977,-18.066,-16.602,-20.508,48.828,0
1671211770.836,10.742,-19.043,-17.090,-23.926,-257.812,0
1671211770.840,-13.184,-20.020,-16.113,-20.996,-285.645,0
1671211770.844,-31.250,-15.625,-21.973,-27.832,-232.910,0
1671211770.848,-32.715,-15.625,-23.926,-28.320,-295.898,0
1671211770.852,-17.090,-20.996,-19.043,-30.273,-286.133,0
1671211770.856,-0.488,-20.020,-20.508,-25.879,-139.648,0
1671211770.860,-5.859,-14.160,-20.020,-13.672,-92.285,0
1671211770.864,-39.062,-12.207,-23.438,-17.090,-231.445,0
1671211770.868,-51.270,-17.578,-30.273,-23.438,-363.770,0
1671211770.872,-29.785,-25.391,-28.320,-29.297,-207.031,0
1671211770.876,-3.906,-21.973,-27.832,-23.438,-16.113,0
1671211770.879,-10.254,-13.672,-22.949,-20.020,-82.520,0
1671211770.883,-41.992,-12.695,-18.066,-30.273,-160.645,0
1671211770.887,-47.852,-12.695,-25.391,-31.250,-146.973,0
1671211770.891,-25.391,-16.602,-25.391,-24.902,58.594,0
1671211770.895,-2.441,-14.648,-24.902,-29.297,-113.770,0
1671211770.911,-4.883,-11.230,-27.832,-31.738,-281.738,0
1671211770.915,-33.203,-15.625,-24.414,-25.391,-201.660,0
1671211770.919,-45.410,-13.672,-20.020,-29.785,-226.074,0
1671211770.923,-28.809,-16.602,-16.602,-32.715,-217.285,0
1671211770.927,-2.930,-18.555,-17.090,-29.785,-231.445,0
1671211770.931,1.465,-15.137,-16.113,-18.066,58.594,0
1671211770.935,-18.555,-10.254,-17.090,-13.184,196.777,0
1671211770.938,-41.992,-11.719,-22.461,-32.227,-218.262,0
1671211770.942,-33.691,-19.043,-21.484,-35.645,-336.426,0
1671211770.946,-10.742,-22.461,-20.020,-25.879,-224.609,0
1671211770.950,-7.812,-20.020,-13.672,-24.414,-194.336,0
1671211770.954,-26.855,-21.973,-9.766,-26.855,-224.609,0
1671211770.956,-42.969,-24.414,-18.066,-28.320,-248.535,0
1671211770.960,-41.504,-21.484,-21.484,-38.086,-245.605,0
1671211770.964,-20.020,-21.484,-19.531,-37.109,-236.328,0
1671211770.968,-4.883,-23.438,-12.695,-20.508,-185.547,0
1671211770.972,-25.879,-25.391,-9.766,-11.230,-59.570,0
1671211770.976,-52.734,-23.438,-12.695,-17.578,15.137,0
1671211770.980,-54.199,-20.996,-19.531,-31.250,-36.133,0
1671211770.983,-25.391,-22.461,-26.367,-34.668,-104.004,0
1671211770.987,-9.277,-25.391,-23.438,-22.949,80.078,0
1671211770.991,-23.926,-22.949,-18.066,-9.277,384.277,0
1671211770.995,-52.246,-18.555,-13.672,-8.789,187.988,0
1671211770.999,-57.129,-20.020,-13.672,-20.020,-152.832,0
1671211771.000,-26.855,-20.996,-15.625,-22.949,-135.254,0
1671211771.004,-6.348,-17.578,-11.719,-13.184,-73.730,0
1671211771.008,-28.320,-18.555,-10.742,-12.695,-65.918,0
1671211771.012,-59.570,-23.926,-12.695,-17.578,-80.566,0
1671211771.016,-55.664,-27.344,-11.230,-19.531,-54.199,0
1671211771.020,-26.367,-22.461,-7.324,-22.461,-10.742,0
